"ACADIAN REDFISH","ALEWIFE","AMERICAN LOBSTER","AMERICAN PLAICE","ATLANTIC ANGEL SHARK","ATLANTIC COD","ATLANTIC CROAKER","ATLANTIC HALIBUT","ATLANTIC HERRING","ATLANTIC MACKEREL","ATLANTIC ROCK CRAB","ATLANTIC SHARPNOSE SHARK","ATLANTIC WOLFFISH","BARNDOOR SKATE","BASKING SHARK","BEARDFISH","BLACK SEA BASS","BLACKBELLY ROSEFISH","BLUEFISH","BLUNTNOSE STINGRAY","BULLNOSE RAY","BUTTERFISH","CHAIN DOGFISH","CHUB MACKEREL","CLEARNOSE SKATE","COARSEHAND LADY CRAB","COBIA","COWNOSE RAY","CUSK","DUSKY SHARK","FAWN CUSK-EEL","FOURSPOT FLOUNDER","GOOSEFISH","HADDOCK","HORSESHOE CRAB","JOHN DORY","LITTLE SKATE","LOGGERHEAD SEATURTLE","LONGFIN SQUID","LONGHORN SCULPIN","NORTHERN SEAROBIN","NORTHERN SHORTFIN SQUID","NORTHERN SHRIMP","OCEAN POUT","OCEAN SUNFISH","OFFSHORE HAKE","POLLOCK","RED HAKE","ROSETTE SKATE","ROUGHTAIL STINGRAY","ROUND HERRING","SANDBAR SHARK","SCUP","SEA RAVEN","SEA SCALLOP","SHRIMP UNCL","SILVER HAKE","SMOOTH DOGFISH","SMOOTH SKATE","SOUTHERN EAGLE RAY","SOUTHERN STINGRAY","SPINY BUTTERFLY RAY","SPINY DOGFISH","SPOT","SPOTTED HAKE","STRIPED ANCHOVY","STRIPED BASS","SUMMER FLOUNDER","THORNY SKATE","WEAKFISH","WHITE HAKE","WINDOWPANE","WINTER FLOUNDER","WINTER SKATE","WITCH FLOUNDER","YELLOWTAIL FLOUNDER"
0.0181671237013606,0,0.0630109885188141,0.0181671237013606,0,0.091295411682639,0,0,0.19712069557035,0.0498269197343944,0.0106441917609589,0,0.00627760181969448,0,0,0,0,0.00496287999846305,0.0629327625562907,0,0,0.0746414511934389,0,0,0,0,0,0,0,0,0.012156523650899,0.0484230620065953,0.0194757474654717,0.0611059323345805,0,0,0.106949776096422,0,0.10163609891428,0.107409381892791,0.00665840222444246,0.0463969562216881,0,0.0432084191245082,0,0.00496287999846305,0.00701857220225662,0.0886954272473999,0,0,0,0,0.0273634319398353,0.0632840179124945,0.0624613494575366,0,0.10122328782313,0.0630500651045972,0.0143837927607712,0,0,0,0.891535498060678,0,0.00736114062724781,0,0,0.0232779705589036,0.00859596030920536,0,0.0430942619392363,0.0602943965469574,0.0503677309549666,0.236693478160896,0,0.0377961680199248
0.00776771684484735,0.00540028598697951,0.0805374024012165,0.0272479726658724,0,0.0960059635658554,0,0,0.172301547334196,0.0320271170211952,0.0109852105106571,0,0.0593269173641609,0.0365715680152617,0,0,0,0.0114337696085064,0.10172447288812,0,0,0.189899098639456,0,0,0,0,0,0,0,0,0.0187608185427342,0.071900699387657,0.0243581200489754,0.167462919799448,0,0,0.146643302825212,0,0.157850696729784,0.118973768752666,0,0.141594207413042,0,0.0444697549327186,0,0.00634231424543257,0.0351698338370452,0.134821550208024,0,0,0.0145320675554457,0,0.013075015772389,0.0644455280546454,0.0794689697182948,0,0.0955565991820263,0.12456634560667,0.0105175383273129,0,0,0,0.799320143274498,0,0.0145320675554457,0,0,0.018216910753459,0.115170209943729,0,0.0243581200489754,0.0913381334792496,0.0785141616884046,0.24484618940029,0.00634231424543257,0.0399804821149129
0.0238931303176719,0.0070973172834193,0.128276360993354,0.0445117426055179,0,0.227852257560132,0,0,0.21240631598741,0.0524753709528881,0.0173848058870133,0,0,0.0212919518502579,0,0,0,0,0.167352273416187,0,0,0.204307427485399,0.00709731728341929,0,0,0,0,0,0.00579493529567111,0,0.0212919518502579,0.101700701693511,0.0800875991678726,0.074437291651211,0,0.0252595373381874,0.222332266932296,0,0.285690897797614,0.232737183762451,0.0153319576560563,0.118406850926472,0,0.0235391384472063,0,0,0.121486502946237,0.207366397329074,0,0,0.00709731728341929,0,0.0100371223586765,0.0952205034216581,0.0567785382673544,0.018777736507648,0.155386411192387,0.141413045051524,0.0153319576560563,0,0,0,0.551600528345953,0,0.0147742440763173,0,0,0.0332893688386171,0.110484358585045,0,0.0417878726930765,0.0893059507073354,0.15667773321127,0.332009842404455,0,0.0996155950965504
0,0.00330700054183389,0.0995401669720462,0.0551387179599393,0,0.16790967560195,0,0,0.2104822064131,0.0576595246723528,0.010968079978765,0,0.0184125997646823,0.0538340685317185,0,0,0,0.013635112537956,0.111510175265108,0,0,0.175426949954968,0,0.00572789295911411,0,0,0,0,0.027270225075912,0,0.0288297623361764,0.0737246060287457,0.0409053376138679,0.162750126751706,0,0,0.240844106641392,0,0.144072923909536,0.143654824581085,0.0211751353226202,0.0594340776367545,0,0.0536305363529993,0,0,0.0460611875795207,0.075047785314426,0,0,0.00661400108366779,0,0.0413044235289102,0.0678539780538573,0.0573743150520387,0.0266618907420278,0.0773442316095923,0.163554498011228,0.0221840340395077,0,0,0,0.700139735737604,0,0.0303091606124276,0,0.255282449741863,0.0497151192688287,0.0624839353144247,0,0.0123736630054182,0.119967113827647,0.119875918745043,0.273463151388391,0.00467680501703667,0.0727540119203457
0.00716322191414317,0.0219953741260787,0.0987010734825005,0.0306312253578911,0,0.0916940371759537,0,0,0.192419051668138,0.0488841632409151,0.0104858831828383,0,0,0.0129844423852933,0,0,0,0.00382890316973639,0.0691326466405625,0,0,0.0587583834724688,0.00270744339582727,0,0,0,0,0,0,0,0.00270744339582727,0.0478229852621301,0.0367255490422676,0.0471281834119186,0,0,0.153991421560112,0,0.0682254247764096,0.163346591820753,0.0126990351726181,0.0642411908710112,0,0.0418560591580774,0,0.00468942952018964,0.0290340958234452,0.0731510923457357,0,0,0.00270744339582727,0,0.0197104854406293,0.104051808578016,0.0698184508433822,0.00937885904037929,0.082743297363971,0.0425508129907919,0.00937885904037929,0,0,0,0.871809385679106,0,0.0160174511379403,0,0,0.0223261501927536,0.0306312253578911,0,0.00856168776679499,0.0713245632350906,0.121834952812227,0.217389328358481,0.0104858831828383,0.0721928498279697
0.0308145685521067,0.0101317677284357,0.100128660848215,0.0412592320409336,0,0.141482436627588,0,0.00970042907269519,0.100979386933316,0.194184872795552,0.0216908188174617,0,0,0.0282056476454278,0,0,0,0.0071642416661839,0.0917470589111369,0,0,0.123604798013368,0,0,0,0,0,0,0,0,0.00877436823806866,0.0652037834405697,0.0394575663943144,0.223588625217266,0,0.00413627685451081,0.169385461259756,0,0.150278400998459,0.209811598670706,0,0.0495490748870523,0,0.0558780232706207,0,0,0.064940863888082,0.0641456396431388,0,0,0,0,0.00584957882537911,0.116073981348168,0.0896246346098966,0.0146239470634478,0.0855219627220791,0.0334757449091742,0.0146239470634478,0,0,0,0.762057796339774,0,0.00827255370902162,0,0,0.0450265606807102,0.0731782077258773,0,0.0371114172523972,0.0708620402947657,0.159608842729198,0.254809426226992,0.0182653040279831,0.115630949268403
0.00495479550809113,0.0370120239625801,0.0662536016879657,0.0444829167352615,0,0.114775995790009,0,0,0.0840272549615018,0.0543222774094147,0.00886340765656191,0,0,0.028891174256475,0,0,0,0,0.0805058979897003,0,0,0.177904069939416,0,0.00383796809734006,0,0,0,0,0,0,0.00495479550809113,0.0596636387292546,0.0492497700955812,0.109163039921971,0,0,0.162831196056407,0,0.090741773764655,0.180316438654824,0.00542770653521357,0.0349655534296914,0,0.0571414893408547,0,0,0.0538228559831788,0.111080282947381,0,0,0.00313368782918785,0,0.0131091567115891,0.0927222167776172,0.0382515347693293,0.00313368782918785,0.0684407752655653,0.0813552678250107,0.00221585191414048,0,0,0,0.829829885387928,0,0.0115139042920202,0.00313368782918785,0.0898445296925618,0.0479362061716111,0.0138379907685545,0,0.0217108261408543,0.0994668256575077,0.146982987803895,0.242451059954476,0.0148643865242734,0.114882893452921
0.108349409091022,0.00537068081427115,0.106198338272466,0.044612225411941,0,0.0945605935192977,0,0,0.0352179092732312,0.0941785289527284,0.021314228708501,0,0,0.0453337637321852,0,0,0.0110719421393591,0.00537068081427115,0.136266143036898,0,0,0.120810477520962,0,0,0,0,0,0,0,0,0.0128784401753662,0.0877576476048914,0.0361275602760179,0.248056276116994,0,0.00805602122140672,0.18501586168791,0,0.229105337194221,0.127659625610295,0.0120092073861642,0.0120092073861642,0,0.018604584083106,0,0.00465114602077651,0.0158866880933953,0.0670260104934459,0,0,0,0,0.0590164269365759,0.065722300691735,0.204456535316005,0.0060046036930821,0.0646715609775512,0.0396485759678519,0.0142094858056673,0,0,0,0.689243764802778,0,0.0272532286073795,0,0,0.0526217102652783,0.0458084757740176,0.0184097663158218,0.0206264910498492,0.0884940883278867,0.150235136402476,0.385297223212015,0.0180138110792463,0.15713257403198
0.0321404267906634,0.0190790985782327,0.11413030620407,0.0504785500772898,0,0.0719365924523901,0,0,0.0992370918232013,0.045991356576301,0.0302481253553084,0,0,0.0646623456758294,0,0,0.00701361612554294,0.00543272369018392,0.0888268321482802,0,0,0.132926067298353,0,0,0,0,0,0,0,0,0.0190790985782327,0.0697845993360363,0.0636657116452304,0.317120945899667,0,0.00443580031816023,0.216674202820134,0,0.219829599645093,0.181651303666569,0.0208057477197285,0.0555804186798435,0,0.0569788867592849,0,0.00543272369018392,0.0121479394742247,0.111910591636533,0,0,0.00313658448496054,0,0.0723457138125614,0.0943585545635485,0.0644337214632724,0.0108654473803678,0.11923147413423,0.120053769906852,0.0280544645021718,0,0,0,0.59086125692902,0,0.0328967756085983,0,0.0827487819425849,0.0681440575044613,0.0358998503102683,0.0188195069097633,0.0180183060700151,0.0934681125378604,0.211318286875152,0.432700896028398,0.0240925625794853,0.157642626837577
0.0271029276205926,0.0233396866236593,0.0934298162985143,0.0151951467476318,0,0.088143337885816,0,0,0.052022086924233,0.0256760091454447,0.0107445913063752,0,0.0031327658616597,0.0790285554477027,0,0,0,0.00906253504992971,0.0552796417368752,0,0,0.117987982035197,0,0,0,0,0,0,0.00850384146061203,0,0.0032461323355422,0.0694806744386111,0.0449854705971691,0.266951843313788,0,0.00634743757511839,0.144372589381176,0,0.117144191747054,0.110041811439474,0.0156308180401861,0.0266677617047371,0,0.0284556666444153,0,0.0130559388412718,0.0248447762412275,0.0742673844047082,0.0039365136747569,0,0.111347451376449,0,0.0365028960110607,0.0860558264368474,0.228992000281424,0.00731174963294291,0.0929725863040316,0.0524359777090661,0.0115664748837476,0,0,0,0.778204614975921,0,0.0194210207107422,0,0,0.0574065538173928,0.0315412774364226,0,0.0117657206838268,0.0865263256868412,0.150569632619571,0.269327547084135,0.00296329984137232,0.154699478204022
